title,subject,rank
肖申克的救赎,希望让人自由。,9.7
霸王别姬,风华绝代。,9.6
阿甘正传,一部美国近现代史。,9.5
泰坦尼克号,失去的才是永恒的。 ,9.4
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,9.4
美丽人生,最美的谎言。,9.6
千与千寻,最好的宫崎骏，最好的久石让。 ,9.4
辛德勒的名单,拯救一个人，就是拯救整个世界。,9.6
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.4
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.4
忠犬八公的故事,永远都不能忘记你所爱的人。,9.4
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.3
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.3
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.2
机器人总动员,小瓦力，大人生。,9.3
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.3
无间道,香港电影史上永不过时的杰作。,9.3
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2
大话西游之大圣娶亲,一生所爱。,9.2
控方证人,比利·怀德满分作品。,9.6
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3
教父,千万不要记恨你的对手，这样会让你失去理智。,9.3
当幸福来敲门,平民励志片。 ,9.2
触不可及,满满温情的高雅喜剧。,9.3
怦然心动,真正的幸福是来自内心深处。,9.1
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.2
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.3
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,9.1
蝙蝠侠：黑暗骑士,无尽的黑暗。,9.2
活着,张艺谋最好的电影。,9.3
哈利·波特与魔法石,童话世界的开端。,9.2
指环王3：王者无敌,史诗的终章。,9.3
乱世佳人,Tomorrow is another day.,9.3
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.3
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,9.1
我不是药神,对我们国家而言，这样的电影多一部是一部。,9.0
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0
何以为家,凝视卑弱生命，用电影改变命运。,9.1
十二怒汉,1957年的理想主义。 ,9.4
哈尔的移动城堡,带着心爱的人在天空飞翔。,9.1
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,9.1
鬼子来了,对敌人的仁慈，就是对自己残忍。,9.3
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,9.1
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,9.0
大话西游之月光宝盒,旷古烁今。,9.0
天空之城,对天空的追逐，永不停止。 ,9.1
钢琴家,音乐能化解仇恨。,9.3
指环王2：双塔奇兵,承前启后的史诗篇章。,9.2
海蒂和爷爷,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.3
闻香识女人,史上最美的探戈。,9.1
